text,label
The football team secured a last-minute victory.,0
The prime minister announced a new foreign policy strategy.,1
The blockbuster movie broke all previous box office records.,2
The tennis champion won her 10th Grand Slam title.,0
The senate passed a controversial immigration bill.,1
The actor received an award for his outstanding performance.,2
The cricket match was postponed due to heavy rain.,0
The president held talks with international diplomats.,1
The music festival attracted thousands of fans worldwide.,2
The basketball player set a new scoring record.,0
The parliament debated climate change regulations.,1
The celebrity couple announced their engagement.,2
The rugby final ended with a dramatic comeback.,0
The mayor unveiled new city development plans.,1
The singer released a chart-topping single.,2
The boxing match ended with a stunning knockout.,0
The opposition party organized a massive rally.,1
The film premiere was attended by Hollywood stars.,2
The cycling race was dominated by young riders.,0
The government launched a new digital education program.,1
The actor signed a deal for a major streaming series.,2
The baseball team advanced to the playoffs.,0
The president addressed the nation on economic issues.,1
The fashion show highlighted new global trends.,2
The hockey league announced the playoff schedule.,0
The legislature approved a new healthcare reform.,1
The comedian performed to a sold-out audience.,2
The marathon attracted participants from 50 countries.,0
The minister presented the annual budget in parliament.,1
The theater production received glowing reviews.,2
The volleyball team celebrated their championship win.,0
The government faced criticism over corruption scandals.,1
The popular TV series returned for a new season.,2
The swimming competition saw several records broken.,0
The election campaign intensified with televised debates.,1
The video game release created a global frenzy.,2
The soccer league introduced new rules for fair play.,0
The parliament approved new tax policies.,1
The pop star announced an international concert tour.,2
The golf tournament concluded with an unexpected winner.,0
The president met with leaders to discuss global security.,1
The actor’s latest movie became a streaming sensation.,2
The track and field championship showcased rising athletes.,0
The government announced plans for infrastructure investment.,1
The music awards ceremony honored top performers.,2
The boxing champion defended his world title successfully.,0
The senate debated national defense strategies.,1
The entertainment industry saw record streaming numbers.,2
The cricket league launched its new season.,0
The prime minister faced questions on foreign trade.,1
